id,memspec,mcconfig,addressmapping
265,JEDEC_1Gbx16_LPDDR4-0533.json,fifoStrict.json,am_stt-mram_8x2Gbx8_dimm_p1KB_rbc.json
266,JEDEC_1Gbx16_LPDDR4-0533.json,fifoStrict.json,am_wideio2_4x64_4x2Gb_brc.json
267,JEDEC_1Gbx16_LPDDR4-0533.json,fifoStrict.json,am_wideio2_4x64_4x2Gb_rbc.json
268,JEDEC_1Gbx16_LPDDR4-0533.json,fifoStrict.json,am_wideio_4x1Gb_brc.json
269,JEDEC_1Gbx16_LPDDR4-0533.json,fifoStrict.json,am_wideio_4x1Gb_rbc.json
270,JEDEC_1Gbx16_LPDDR4-0533.json,fifoStrict.json,am_wideio_4x256Mb_brc.json
271,JEDEC_1Gbx16_LPDDR4-0533.json,fifoStrict.json,am_wideio_4x256Mb_rbc.json
272,JEDEC_1Gbx16_LPDDR4-0533.json,fifoStrict.json,am_wideio_4x2Gb_brc.json
273,JEDEC_1Gbx16_LPDDR4-0533.json,fifoStrict.json,am_wideio_4x2Gb_rbc.json
274,JEDEC_1Gbx16_LPDDR4-0533.json,fifoStrict.json,am_wideio_4x4Gb_brc.json
275,JEDEC_1Gbx16_LPDDR4-0533.json,fifoStrict.json,am_wideio_4x4Gb_rbc.json
276,JEDEC_1Gbx16_LPDDR4-0533.json,fifoStrict.json,am_wideio_4x512Mb_brc.json
277,JEDEC_1Gbx16_LPDDR4-0533.json,fifoStrict.json,am_wideio_4x512Mb_rbc.json
278,JEDEC_1Gbx16_LPDDR4-0533.json,fifoStrict.json,am_wideio_thermal.json
279,JEDEC_1Gbx16_LPDDR4-0533.json,fr_fcfs.json,am_ddr3_4x4Gbx16_dimm_p2KB_brc.json
280,JEDEC_1Gbx16_LPDDR4-0533.json,fr_fcfs.json,am_ddr3_4x4Gbx16_dimm_p2KB_rbc.json
281,JEDEC_1Gbx16_LPDDR4-0533.json,fr_fcfs.json,am_ddr3_8x1Gbx8_dimm_p1KB_brc.json
282,JEDEC_1Gbx16_LPDDR4-0533.json,fr_fcfs.json,am_ddr3_8x1Gbx8_dimm_p1KB_rbc.json
283,JEDEC_1Gbx16_LPDDR4-0533.json,fr_fcfs.json,am_ddr3_8x2Gbx8_dimm_p1KB_brc.json
284,JEDEC_1Gbx16_LPDDR4-0533.json,fr_fcfs.json,am_ddr3_8x2Gbx8_dimm_p1KB_rbc.json
285,JEDEC_1Gbx16_LPDDR4-0533.json,fr_fcfs.json,am_ddr3_x16_brc.json
286,JEDEC_1Gbx16_LPDDR4-0533.json,fr_fcfs.json,am_ddr3_x16_rbc.json
287,JEDEC_1Gbx16_LPDDR4-0533.json,fr_fcfs.json,am_ddr4_8x4Gbx8_dimm_p1KB_brc.json
288,JEDEC_1Gbx16_LPDDR4-0533.json,fr_fcfs.json,am_hbm2_8Gb_pc_brc.json
289,JEDEC_1Gbx16_LPDDR4-0533.json,fr_fcfs.json,am_lpddr4_1Gbx16_baroco.json
290,JEDEC_1Gbx16_LPDDR4-0533.json,fr_fcfs.json,am_lpddr4_1Gbx16_robaco.json
291,JEDEC_1Gbx16_LPDDR4-0533.json,fr_fcfs.json,am_lpddr4_1Gbx16_rocoba.json
292,JEDEC_1Gbx16_LPDDR4-0533.json,fr_fcfs.json,am_lpddr4_512Mbx16_baroco.json
293,JEDEC_1Gbx16_LPDDR4-0533.json,fr_fcfs.json,am_lpddr4_512Mbx16_robaco.json
294,JEDEC_1Gbx16_LPDDR4-0533.json,fr_fcfs.json,am_lpddr4_512Mbx16_rocoba.json
295,JEDEC_1Gbx16_LPDDR4-0533.json,fr_fcfs.json,am_lpddr4_8Gbx16_brc.json
296,JEDEC_1Gbx16_LPDDR4-0533.json,fr_fcfs.json,am_stt-mram_8x2Gbx8_dimm_p1KB_rbc.json
